# 이 파일은 www.edumgt.co.kr 의 에듀엠지티에 저작권이 있습니다
class,day,slot,subject_code,subject_name,subject_session,module,level,md_file,lm_studio_level
class049,7,1,정규교과-2,Python 전처리 및 시각화,9/40,Pandas 데이터프레임 기초 · 단계 1/4 입문 이해 [class049],기초응용,dataVizPrep/class049/class049.md,레벨2-기초
class050,7,2,정규교과-2,Python 전처리 및 시각화,10/40,Pandas 데이터프레임 기초 · 단계 2/4 기초 구현 [class050],기초응용,dataVizPrep/class050/class050.md,레벨2-기초
class051,7,3,정규교과-2,Python 전처리 및 시각화,11/40,Pandas 데이터프레임 기초 · 단계 3/4 실전 검증 [class051],기초응용,dataVizPrep/class051/class051.md,레벨2-기초
class052,7,4,정규교과-2,Python 전처리 및 시각화,12/40,Pandas 데이터프레임 기초 · 단계 4/4 운영 최적화 [class052],기초응용,dataVizPrep/class052/class052.md,레벨2-기초
class053,7,5,정규교과-2,Python 전처리 및 시각화,13/40,결측치/이상치 처리 · 단계 1/4 입문 이해 [class053],기초응용,dataVizPrep/class053/class053.md,레벨2-기초
class054,7,6,정규교과-2,Python 전처리 및 시각화,14/40,결측치/이상치 처리 · 단계 2/4 기초 구현 [class054],기초응용,dataVizPrep/class054/class054.md,레벨2-기초
class055,7,7,정규교과-2,Python 전처리 및 시각화,15/40,결측치/이상치 처리 · 단계 3/4 실전 검증 [class055],기초응용,dataVizPrep/class055/class055.md,레벨2-기초
class056,7,8,정규교과-2,Python 전처리 및 시각화,16/40,결측치/이상치 처리 · 단계 4/4 운영 최적화 [class056],기초응용,dataVizPrep/class056/class056.md,레벨2-기초
class057,8,1,정규교과-2,Python 전처리 및 시각화,17/40,문자열/날짜 전처리 · 단계 1/4 입문 이해 [class057],기초응용,dataVizPrep/class057/class057.md,레벨2-기초
class058,8,2,정규교과-2,Python 전처리 및 시각화,18/40,문자열/날짜 전처리 · 단계 2/4 기초 구현 [class058],기초응용,dataVizPrep/class058/class058.md,레벨2-기초
class059,8,3,정규교과-2,Python 전처리 및 시각화,19/40,문자열/날짜 전처리 · 단계 3/4 실전 검증 [class059],기초응용,dataVizPrep/class059/class059.md,레벨2-기초
class060,8,4,정규교과-2,Python 전처리 및 시각화,20/40,문자열/날짜 전처리 · 단계 4/4 운영 최적화 [class060],기초응용,dataVizPrep/class060/class060.md,레벨2-기초
class061,8,5,정규교과-2,Python 전처리 및 시각화,21/40,그룹화와 집계 · 단계 1/4 입문 이해 [class061],기초응용,dataVizPrep/class061/class061.md,레벨2-기초
class062,8,6,정규교과-2,Python 전처리 및 시각화,22/40,그룹화와 집계 · 단계 2/4 기초 구현 [class062],기초응용,dataVizPrep/class062/class062.md,레벨2-기초
class063,8,7,정규교과-2,Python 전처리 및 시각화,23/40,그룹화와 집계 · 단계 3/4 실전 검증 [class063],기초응용,dataVizPrep/class063/class063.md,레벨2-기초
class064,8,8,정규교과-2,Python 전처리 및 시각화,24/40,그룹화와 집계 · 단계 4/4 운영 최적화 [class064],기초응용,dataVizPrep/class064/class064.md,레벨2-기초
class065,9,1,정규교과-2,Python 전처리 및 시각화,25/40,데이터 병합과 변환 · 단계 1/4 입문 이해 [class065],기초응용,dataVizPrep/class065/class065.md,레벨2-기초
class066,9,2,정규교과-2,Python 전처리 및 시각화,26/40,데이터 병합과 변환 · 단계 2/4 기초 구현 [class066],기초응용,dataVizPrep/class066/class066.md,레벨2-기초
class067,9,3,정규교과-2,Python 전처리 및 시각화,27/40,데이터 병합과 변환 · 단계 3/4 실전 검증 [class067],기초응용,dataVizPrep/class067/class067.md,레벨2-기초
class068,9,4,정규교과-2,Python 전처리 및 시각화,28/40,데이터 병합과 변환 · 단계 4/4 운영 최적화 [class068],기초응용,dataVizPrep/class068/class068.md,레벨2-기초
class069,9,5,정규교과-2,Python 전처리 및 시각화,29/40,Matplotlib 시각화 기초 · 단계 1/4 입문 이해 [class069],실전심화,dataVizPrep/class069/class069.md,레벨2-기초
class070,9,6,정규교과-2,Python 전처리 및 시각화,30/40,Matplotlib 시각화 기초 · 단계 2/4 기초 구현 [class070],실전심화,dataVizPrep/class070/class070.md,레벨2-기초
class071,9,7,정규교과-2,Python 전처리 및 시각화,31/40,Matplotlib 시각화 기초 · 단계 3/4 실전 검증 [class071],실전심화,dataVizPrep/class071/class071.md,레벨2-기초
class072,9,8,정규교과-2,Python 전처리 및 시각화,32/40,Matplotlib 시각화 기초 · 단계 4/4 운영 최적화 [class072],실전심화,dataVizPrep/class072/class072.md,레벨2-기초
class073,10,1,정규교과-2,Python 전처리 및 시각화,33/40,Seaborn/실전 차트 해석 · 단계 1/4 입문 이해 [class073],실전심화,dataVizPrep/class073/class073.md,레벨2-기초
class074,10,2,정규교과-2,Python 전처리 및 시각화,34/40,Seaborn/실전 차트 해석 · 단계 2/4 기초 구현 [class074],실전심화,dataVizPrep/class074/class074.md,레벨2-기초
class075,10,3,정규교과-2,Python 전처리 및 시각화,35/40,Seaborn/실전 차트 해석 · 단계 3/4 실전 검증 [class075],실전심화,dataVizPrep/class075/class075.md,레벨2-기초
class076,10,4,정규교과-2,Python 전처리 및 시각화,36/40,Seaborn/실전 차트 해석 · 단계 4/4 운영 최적화 [class076],실전심화,dataVizPrep/class076/class076.md,레벨2-기초
class077,10,5,정규교과-2,Python 전처리 및 시각화,37/40,Agent 시스템 통합 구현 · 단계 1/4 입문 이해 [class077],실전심화,dataVizPrep/class077/class077.md,레벨2-기초
class078,10,6,정규교과-2,Python 전처리 및 시각화,38/40,Agent 시스템 통합 구현 · 단계 2/4 기초 구현 [class078],실전심화,dataVizPrep/class078/class078.md,레벨2-기초
class079,10,7,정규교과-2,Python 전처리 및 시각화,39/40,Agent 시스템 통합 구현 · 단계 3/4 실전 검증 [class079],실전심화,dataVizPrep/class079/class079.md,레벨2-기초
class080,10,8,정규교과-2,Python 전처리 및 시각화,40/40,Agent 시스템 통합 구현 · 단계 4/4 운영 최적화 [class080],실전심화,dataVizPrep/class080/class080.md,레벨2-기초
class081,11,1,정규교과-3,머신러닝과 딥러닝,1/48,ML/DL 개요와 문제정의 · 단계 1/5 입문 이해 [class081],입문,mlDeepDive/class081/class081.md,레벨3-중급
class082,11,2,정규교과-3,머신러닝과 딥러닝,2/48,ML/DL 개요와 문제정의 · 단계 2/5 기초 구현 [class082],입문,mlDeepDive/class082/class082.md,레벨3-중급
class083,11,3,정규교과-3,머신러닝과 딥러닝,3/48,ML/DL 개요와 문제정의 · 단계 3/5 응용 확장 [class083],입문,mlDeepDive/class083/class083.md,레벨3-중급
class084,11,4,정규교과-3,머신러닝과 딥러닝,4/48,ML/DL 개요와 문제정의 · 단계 4/5 실전 검증 [class084],입문,mlDeepDive/class084/class084.md,레벨3-중급
class085,11,5,정규교과-3,머신러닝과 딥러닝,5/48,ML/DL 개요와 문제정의 · 단계 5/5 운영 최적화 [class085],입문,mlDeepDive/class085/class085.md,레벨3-중급
class086,11,6,정규교과-3,머신러닝과 딥러닝,6/48,지도학습 기초 · 단계 1/5 입문 이해 [class086],입문,mlDeepDive/class086/class086.md,레벨3-중급
class087,11,7,정규교과-3,머신러닝과 딥러닝,7/48,지도학습 기초 · 단계 2/5 기초 구현 [class087],입문,mlDeepDive/class087/class087.md,레벨3-중급
class088,11,8,정규교과-3,머신러닝과 딥러닝,8/48,지도학습 기초 · 단계 3/5 응용 확장 [class088],입문,mlDeepDive/class088/class088.md,레벨3-중급
class089,12,1,정규교과-3,머신러닝과 딥러닝,9/48,지도학습 기초 · 단계 4/5 실전 검증 [class089],입문,mlDeepDive/class089/class089.md,레벨3-중급
class090,12,2,정규교과-3,머신러닝과 딥러닝,10/48,지도학습 기초 · 단계 5/5 운영 최적화 [class090],기초응용,mlDeepDive/class090/class090.md,레벨3-중급
class091,12,3,정규교과-3,머신러닝과 딥러닝,11/48,회귀 모델 · 단계 1/5 입문 이해 [class091],기초응용,mlDeepDive/class091/class091.md,레벨3-중급
class092,12,4,정규교과-3,머신러닝과 딥러닝,12/48,회귀 모델 · 단계 2/5 기초 구현 [class092],기초응용,mlDeepDive/class092/class092.md,레벨3-중급
class093,12,5,정규교과-3,머신러닝과 딥러닝,13/48,회귀 모델 · 단계 3/5 응용 확장 [class093],기초응용,mlDeepDive/class093/class093.md,레벨3-중급
class094,12,6,정규교과-3,머신러닝과 딥러닝,14/48,회귀 모델 · 단계 4/5 실전 검증 [class094],기초응용,mlDeepDive/class094/class094.md,레벨3-중급
class095,12,7,정규교과-3,머신러닝과 딥러닝,15/48,회귀 모델 · 단계 5/5 운영 최적화 [class095],기초응용,mlDeepDive/class095/class095.md,레벨3-중급
class096,12,8,정규교과-3,머신러닝과 딥러닝,16/48,분류 모델 · 단계 1/5 입문 이해 [class096],기초응용,mlDeepDive/class096/class096.md,레벨3-중급
class097,13,1,정규교과-3,머신러닝과 딥러닝,17/48,분류 모델 · 단계 2/5 기초 구현 [class097],기초응용,mlDeepDive/class097/class097.md,레벨3-중급
class098,13,2,정규교과-3,머신러닝과 딥러닝,18/48,분류 모델 · 단계 3/5 응용 확장 [class098],기초응용,mlDeepDive/class098/class098.md,레벨3-중급
class099,13,3,정규교과-3,머신러닝과 딥러닝,19/48,분류 모델 · 단계 4/5 실전 검증 [class099],기초응용,mlDeepDive/class099/class099.md,레벨3-중급
class100,13,4,정규교과-3,머신러닝과 딥러닝,20/48,분류 모델 · 단계 5/5 운영 최적화 [class100],기초응용,mlDeepDive/class100/class100.md,레벨3-중급
class101,13,5,정규교과-3,머신러닝과 딥러닝,21/48,모델 평가 지표 · 단계 1/4 입문 이해 [class101],기초응용,mlDeepDive/class101/class101.md,레벨3-중급
class102,13,6,정규교과-3,머신러닝과 딥러닝,22/48,모델 평가 지표 · 단계 2/4 기초 구현 [class102],기초응용,mlDeepDive/class102/class102.md,레벨3-중급
class103,13,7,정규교과-3,머신러닝과 딥러닝,23/48,모델 평가 지표 · 단계 3/4 실전 검증 [class103],기초응용,mlDeepDive/class103/class103.md,레벨3-중급
class104,13,8,정규교과-3,머신러닝과 딥러닝,24/48,모델 평가 지표 · 단계 4/4 운영 최적화 [class104],기초응용,mlDeepDive/class104/class104.md,레벨3-중급
class105,14,1,정규교과-3,머신러닝과 딥러닝,25/48,특성공학과 전처리 · 단계 1/5 입문 이해 [class105],기초응용,mlDeepDive/class105/class105.md,레벨3-중급
class106,14,2,정규교과-3,머신러닝과 딥러닝,26/48,특성공학과 전처리 · 단계 2/5 기초 구현 [class106],기초응용,mlDeepDive/class106/class106.md,레벨3-중급
class107,14,3,정규교과-3,머신러닝과 딥러닝,27/48,특성공학과 전처리 · 단계 3/5 응용 확장 [class107],기초응용,mlDeepDive/class107/class107.md,레벨3-중급
class108,14,4,정규교과-3,머신러닝과 딥러닝,28/48,특성공학과 전처리 · 단계 4/5 실전 검증 [class108],기초응용,mlDeepDive/class108/class108.md,레벨3-중급
class109,14,5,정규교과-3,머신러닝과 딥러닝,29/48,특성공학과 전처리 · 단계 5/5 운영 최적화 [class109],기초응용,mlDeepDive/class109/class109.md,레벨3-중급
class110,14,6,정규교과-3,머신러닝과 딥러닝,30/48,과적합과 일반화 · 단계 1/5 입문 이해 [class110],기초응용,mlDeepDive/class110/class110.md,레벨3-중급
class111,14,7,정규교과-3,머신러닝과 딥러닝,31/48,과적합과 일반화 · 단계 2/5 기초 구현 [class111],기초응용,mlDeepDive/class111/class111.md,레벨3-중급
class112,14,8,정규교과-3,머신러닝과 딥러닝,32/48,과적합과 일반화 · 단계 3/5 응용 확장 [class112],기초응용,mlDeepDive/class112/class112.md,레벨3-중급
class113,15,1,정규교과-3,머신러닝과 딥러닝,33/48,과적합과 일반화 · 단계 4/5 실전 검증 [class113],기초응용,mlDeepDive/class113/class113.md,레벨3-중급
class114,15,2,정규교과-3,머신러닝과 딥러닝,34/48,과적합과 일반화 · 단계 5/5 운영 최적화 [class114],실전심화,mlDeepDive/class114/class114.md,레벨3-중급
class115,15,3,정규교과-3,머신러닝과 딥러닝,35/48,신경망 기초 · 단계 1/5 입문 이해 [class115],실전심화,mlDeepDive/class115/class115.md,레벨3-중급
class116,15,4,정규교과-3,머신러닝과 딥러닝,36/48,신경망 기초 · 단계 2/5 기초 구현 [class116],실전심화,mlDeepDive/class116/class116.md,레벨3-중급
class117,15,5,정규교과-3,머신러닝과 딥러닝,37/48,신경망 기초 · 단계 3/5 응용 확장 [class117],실전심화,mlDeepDive/class117/class117.md,레벨3-중급
class118,15,6,정규교과-3,머신러닝과 딥러닝,38/48,신경망 기초 · 단계 4/5 실전 검증 [class118],실전심화,mlDeepDive/class118/class118.md,레벨3-중급
class119,15,7,정규교과-3,머신러닝과 딥러닝,39/48,신경망 기초 · 단계 5/5 운영 최적화 [class119],실전심화,mlDeepDive/class119/class119.md,레벨3-중급
class120,15,8,정규교과-3,머신러닝과 딥러닝,40/48,딥러닝 학습 구조 · 단계 1/5 입문 이해 [class120],실전심화,mlDeepDive/class120/class120.md,레벨3-중급
class121,16,1,정규교과-3,머신러닝과 딥러닝,41/48,딥러닝 학습 구조 · 단계 2/5 기초 구현 [class121],실전심화,mlDeepDive/class121/class121.md,레벨3-중급
class122,16,2,정규교과-3,머신러닝과 딥러닝,42/48,딥러닝 학습 구조 · 단계 3/5 응용 확장 [class122],실전심화,mlDeepDive/class122/class122.md,레벨3-중급
class123,16,3,정규교과-3,머신러닝과 딥러닝,43/48,딥러닝 학습 구조 · 단계 4/5 실전 검증 [class123],실전심화,mlDeepDive/class123/class123.md,레벨3-중급
class124,16,4,정규교과-3,머신러닝과 딥러닝,44/48,딥러닝 학습 구조 · 단계 5/5 운영 최적화 [class124],실전심화,mlDeepDive/class124/class124.md,레벨3-중급
class125,16,5,정규교과-3,머신러닝과 딥러닝,45/48,Agent 시스템 통합 구현 · 단계 1/4 입문 이해 [class125],실전심화,mlDeepDive/class125/class125.md,레벨3-중급
class126,16,6,정규교과-3,머신러닝과 딥러닝,46/48,Agent 시스템 통합 구현 · 단계 2/4 기초 구현 [class126],실전심화,mlDeepDive/class126/class126.md,레벨3-중급
class127,16,7,정규교과-3,머신러닝과 딥러닝,47/48,Agent 시스템 통합 구현 · 단계 3/4 실전 검증 [class127],실전심화,mlDeepDive/class127/class127.md,레벨3-중급
class128,16,8,정규교과-3,머신러닝과 딥러닝,48/48,Agent 시스템 통합 구현 · 단계 4/4 운영 최적화 [class128],실전심화,mlDeepDive/class128/class128.md,레벨3-중급
class129,17,1,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,1/96,NLP/STT/TTS 개요 · 단계 1/8 입문 이해 [class129],입문,nlpSpeechAI/class129/class129.md,레벨3-중급
class130,17,2,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,2/96,NLP/STT/TTS 개요 · 단계 2/8 기초 구현 [class130],입문,nlpSpeechAI/class130/class130.md,레벨3-중급
class131,17,3,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,3/96,NLP/STT/TTS 개요 · 단계 3/8 기초 구현 [class131],입문,nlpSpeechAI/class131/class131.md,레벨3-중급
class132,17,4,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,4/96,NLP/STT/TTS 개요 · 단계 4/8 응용 확장 [class132],입문,nlpSpeechAI/class132/class132.md,레벨3-중급
class133,17,5,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,5/96,NLP/STT/TTS 개요 · 단계 5/8 응용 확장 [class133],입문,nlpSpeechAI/class133/class133.md,레벨3-중급
class134,17,6,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,6/96,NLP/STT/TTS 개요 · 단계 6/8 실전 검증 [class134],입문,nlpSpeechAI/class134/class134.md,레벨3-중급
class135,17,7,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,7/96,NLP/STT/TTS 개요 · 단계 7/8 실전 검증 [class135],입문,nlpSpeechAI/class135/class135.md,레벨3-중급
class136,17,8,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,8/96,NLP/STT/TTS 개요 · 단계 8/8 운영 최적화 [class136],입문,nlpSpeechAI/class136/class136.md,레벨3-중급
class137,18,1,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,9/96,텍스트 데이터 수집 · 단계 1/8 입문 이해 [class137],입문,nlpSpeechAI/class137/class137.md,레벨3-중급
class138,18,2,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,10/96,텍스트 데이터 수집 · 단계 2/8 기초 구현 [class138],입문,nlpSpeechAI/class138/class138.md,레벨3-중급
class139,18,3,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,11/96,텍스트 데이터 수집 · 단계 3/8 기초 구현 [class139],입문,nlpSpeechAI/class139/class139.md,레벨3-중급
class140,18,4,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,12/96,텍스트 데이터 수집 · 단계 4/8 응용 확장 [class140],입문,nlpSpeechAI/class140/class140.md,레벨3-중급
class141,18,5,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,13/96,텍스트 데이터 수집 · 단계 5/8 응용 확장 [class141],입문,nlpSpeechAI/class141/class141.md,레벨3-중급
class142,18,6,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,14/96,텍스트 데이터 수집 · 단계 6/8 실전 검증 [class142],입문,nlpSpeechAI/class142/class142.md,레벨3-중급
class143,18,7,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,15/96,텍스트 데이터 수집 · 단계 7/8 실전 검증 [class143],입문,nlpSpeechAI/class143/class143.md,레벨3-중급
class144,18,8,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,16/96,텍스트 데이터 수집 · 단계 8/8 운영 최적화 [class144],입문,nlpSpeechAI/class144/class144.md,레벨3-중급
class145,19,1,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,17/96,텍스트 정제와 토큰화 · 단계 1/8 입문 이해 [class145],입문,nlpSpeechAI/class145/class145.md,레벨3-중급
class146,19,2,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,18/96,텍스트 정제와 토큰화 · 단계 2/8 기초 구현 [class146],입문,nlpSpeechAI/class146/class146.md,레벨3-중급
class147,19,3,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,19/96,텍스트 정제와 토큰화 · 단계 3/8 기초 구현 [class147],입문,nlpSpeechAI/class147/class147.md,레벨3-중급
class148,19,4,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,20/96,텍스트 정제와 토큰화 · 단계 4/8 응용 확장 [class148],기초응용,nlpSpeechAI/class148/class148.md,레벨3-중급
class149,19,5,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,21/96,텍스트 정제와 토큰화 · 단계 5/8 응용 확장 [class149],기초응용,nlpSpeechAI/class149/class149.md,레벨3-중급
class150,19,6,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,22/96,텍스트 정제와 토큰화 · 단계 6/8 실전 검증 [class150],기초응용,nlpSpeechAI/class150/class150.md,레벨3-중급
class151,19,7,정규교과-4,자연어 및 음성 데이터 활용 및 모델 개발,23/96,텍스트 정제와 토큰화 · 단계 7/8 실전 검증 [class151],기초응용,nlpSpeechAI/class151/class151.md,레벨3-중급
